,ASSESSED_LAND_VALUE,ASSESSED_TOTAL_VALUE,ASSESSED_IMP_VALUE,ZIP,BATH,BED,AGE,STORIES,GARAGE_TYPE,PARKING,TOTAL_UNITS,LAND_USE,POOL,FIREPLACE,PROPERTY_TYPE,BUILDING_AREA,LOT_SIZE,FIDELITY_LATITUDE,FIDELITY_LONGITUDE
181,33000.0,77000.0,110000.0,94621,1.0,3,96.0,1,G,0,0,1001,,,,1128,6000.0,37.759707999999996,-122.186989
182,91750.0,158750.0,250500.0,95407,1.0,2,69.0,1,,0,1,1001,,,,923,10000.0,38.428225,-122.72190499999999
183,65000.0,216000.0,281000.0,94591,2.5,4,33.0,1,G,2,0,1001,,Y,,1994,15682.0,38.102405,-122.195813
184,55000.0,186000.0,241000.0,94590,1.5,2,74.0,1,,0,0,1001,,Y,MFD,2080,6098.0,38.114672999999996,-122.237228
185,126000.0,174000.0,300000.0,94510,2.0,2,15.0,1,G,2,0,1004,,Y,,1161,3485.0,38.079246999999995,-122.150714
186,557452.0,460033.0,1017485.0,95014,3.0,5,10.0,2,G,2,0,1001,,,,2136,6098.0,37.314014,-122.005449
187,22589.0,63317.0,85906.0,95118,2.0,4,46.0,1,G,1,0,1001,,,,1807,6098.0,37.25481,-121.885595
188,93710.0,218304.0,312014.0,94566,2.5,2,23.0,1.5,G,0,0,1009,,,,1708,3150.0,37.667868999999996,-121.877832
189,196060.0,105012.0,301072.0,94134,2.0,2,63.0,1,V,0,0,1001,,,,897,2500.0,37.710831,-122.42406199999999
190,101100.0,235343.0,336443.0,94578,2.0,3,51.0,1,G,0,0,1001,,,,1509,5546.0,37.718838999999996,-122.136345
191,495981.0,207688.0,703669.0,95014,2.0,6,59.0,2,C,1,0,1001,,,,2694,9148.0,37.327093999999995,-122.040272
192,23844.0,42049.0,65893.0,94521,2.0,4,48.0,,Y,1,0,1001,P,,,1136,7770.0,37.967751,-121.986264
193,238703.0,328218.0,566921.0,95116,2.5,3,11.0,2,G,2,0,1001,,,,1622,4356.0,37.339624,-121.863277
194,145200.0,338800.0,484000.0,94579,2.5,4,11.0,1.5,G,2,0,1001,,,,1817,3754.0,37.674366,-122.157678
195,37898.0,102810.0,140708.0,94949,2.0,4,40.0,,Y,3,1,1001,,,,2603,17194.0,38.060356999999996,-122.573825
196,37160.0,114452.0,151612.0,94533,2.5,3,31.0,2,G,2,0,1004,,Y,,1762,1742.0,38.28125,-122.03120200000001
197,240297.0,560260.0,800557.0,94545,0.0,0,5.0,2,G,3,0,1999,,,PUD,2291,5000.0,37.610265999999996,-122.090825
198,175500.0,409500.0,585000.0,94605,2.0,2,79.0,1,G,0,0,1001,,,,1598,7007.0,37.754312999999996,-122.14760799999999
199,655822.0,437213.0,1093035.0,94110,3.0,0,53.0,,,0,0,1001,,,,2345,2100.0,37.746643,-122.40594
